exp_id,tag,timestamp_utc,duration_s,best_val_mse,final_train_loss,final_val_mse,final_val_rmse,config,tb_logdir,model_path,history_path,error
20251110T220258Z,exp-09_smaller,2025-11-10T22:02:58.123905,0.5876455307006836,0.01622050628066063,0.005755034741014242,0.01622050628066063,0.12735975141566755,"{""tag"": ""exp-09_smaller"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [64, 32], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-09_smaller,artifacts/model_exp-09_smaller_20251104T051228Z.pt,artifacts/history_exp-09_smaller_20251110T220257Z.pkl,
20251110T220258Z,exp-10_bottleneck,2025-11-10T22:02:58.614035,0.4884152412414551,0.010989876464009285,0.0056453623808920385,0.010989876464009285,0.10483261164355911,"{""tag"": ""exp-10_bottleneck"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": true, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-10_bottleneck,artifacts/model_exp-10_bottleneck_seed0_20251104T051618Z.pt,artifacts/history_exp-10_bottleneck_seed2_20251104T051619Z.pkl,
20251110T220259Z,exp-11_skip,2025-11-10T22:02:59.331687,0.7161076068878174,0.010011984035372734,0.002742120157927275,0.010011984035372734,0.10005990223547459,"{""tag"": ""exp-11_skip"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip,artifacts/model_exp-11_skip_seed2_20251110T195155Z.pt,artifacts/history_exp-11_skip_seed1_20251104T051617Z.pkl,
20251110T220300Z,exp-12_combined,2025-11-10T22:03:00.012080,0.6788742542266846,0.014955022372305393,0.0034866616129875182,0.014955022372305393,0.12229072888941905,"{""tag"": ""exp-12_combined"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-12_combined,artifacts/model_exp-12_combined_20251110T220259Z.pt,artifacts/history_exp-12_combined_20251104T051229Z.pkl,
20251110T220301Z,exp-11_skip_seed1_seed0,2025-11-10T22:03:01.165302,0.5544257164001465,0.011314657516777515,0.0025451533030718563,0.011502128094434738,0.10724797478010827,"{""tag"": ""exp-11_skip_seed1_seed0"", ""task"": ""regression"", ""seed"": 0, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed1_seed0,artifacts/model_exp-11_skip_seed1_seed0_20251110T220300Z.pt,artifacts/history_exp-11_skip_seed1_seed0_20251110T195150Z.pkl,
20251110T220301Z,exp-11_skip_seed1_seed1,2025-11-10T22:03:01.649099,0.48224949836730957,0.008614509366452694,0.0034183017676696183,0.008964250795543194,0.09467972747924021,"{""tag"": ""exp-11_skip_seed1_seed1"", ""task"": ""regression"", ""seed"": 1, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed1_seed1,artifacts/model_exp-11_skip_seed1_seed1_20251110T195152Z.pt,artifacts/history_exp-11_skip_seed1_seed1_20251110T195152Z.pkl,
20251110T220302Z,exp-11_skip_seed1_seed2,2025-11-10T22:03:02.118823,0.4685020446777344,0.010385295376181602,0.0029336877167224886,0.010385295376181602,0.10190826942001126,"{""tag"": ""exp-11_skip_seed1_seed2"", ""task"": ""regression"", ""seed"": 2, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed1_seed2,artifacts/model_exp-11_skip_seed1_seed2_20251110T195153Z.pt,artifacts/history_exp-11_skip_seed1_seed2_20251110T220301Z.pkl,
20251110T220302Z,exp-11_skip_seed0,2025-11-10T22:03:02.603370,0.4819040298461914,0.011314657516777515,0.0025451533030718563,0.011502128094434738,0.10724797478010827,"{""tag"": ""exp-11_skip_seed0"", ""task"": ""regression"", ""seed"": 0, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed0,artifacts/model_exp-11_skip_seed0_20251110T220302Z.pt,artifacts/history_exp-11_skip_seed0_20251110T195155Z.pkl,
20251110T220303Z,exp-11_skip_seed1,2025-11-10T22:03:03.100978,0.49634742736816406,0.008614509366452694,0.0034183017676696183,0.008964250795543194,0.09467972747924021,"{""tag"": ""exp-11_skip_seed1"", ""task"": ""regression"", ""seed"": 1, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed1,artifacts/model_exp-11_skip_seed1_20251110T220302Z.pt,artifacts/history_exp-11_skip_seed1_20251104T051617Z.pkl,
20251110T220303Z,exp-11_skip_seed2,2025-11-10T22:03:03.606186,0.5037326812744141,0.010385295376181602,0.0029336877167224886,0.010385295376181602,0.10190826942001126,"{""tag"": ""exp-11_skip_seed2"", ""task"": ""regression"", ""seed"": 2, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed2,artifacts/model_exp-11_skip_seed2_20251110T195155Z.pt,artifacts/history_exp-11_skip_seed2_20251110T220303Z.pkl,
20251110T220304Z,exp-11_skip_seed0,2025-11-10T22:03:04.080418,0.47158098220825195,0.011314657516777515,0.0025451533030718563,0.011502128094434738,0.10724797478010827,"{""tag"": ""exp-11_skip_seed0"", ""task"": ""regression"", ""seed"": 0, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed0,artifacts/model_exp-11_skip_seed0_20251110T220302Z.pt,artifacts/history_exp-11_skip_seed0_20251110T195155Z.pkl,
20251110T220304Z,exp-11_skip_seed1,2025-11-10T22:03:04.572812,0.4911487102508545,0.008614509366452694,0.0034183017676696183,0.008964250795543194,0.09467972747924021,"{""tag"": ""exp-11_skip_seed1"", ""task"": ""regression"", ""seed"": 1, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed1,artifacts/model_exp-11_skip_seed1_20251110T220302Z.pt,artifacts/history_exp-11_skip_seed1_20251104T051617Z.pkl,
20251110T220305Z,exp-11_skip_seed2,2025-11-10T22:03:05.146785,0.5726048946380615,0.010385295376181602,0.0029336877167224886,0.010385295376181602,0.10190826942001126,"{""tag"": ""exp-11_skip_seed2"", ""task"": ""regression"", ""seed"": 2, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": true, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-11_skip_seed2,artifacts/model_exp-11_skip_seed2_20251110T195155Z.pt,artifacts/history_exp-11_skip_seed2_20251110T220303Z.pkl,
20251110T221406Z,exp-01_baseline,2025-11-10T22:14:06.768796,0.5744123458862305,0.014955022372305393,0.0034866616129875182,0.014955022372305393,0.12229072888941905,"{""tag"": ""exp-01_baseline"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-01_baseline,artifacts/model_exp-01_baseline_20251110T195143Z.pt,artifacts/history_exp-01_baseline_20251110T220253Z.pkl,
20251110T221407Z,exp-02_wd-1e-5,2025-11-10T22:14:07.315602,0.5428667068481445,0.014832919463515282,0.0035002336371690035,0.014832919463515282,0.12179047361561282,"{""tag"": ""exp-02_wd-1e-5"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 1e-05, ""batch_size"": 64, ""epochs"": 80}",runs/exp-02_wd-1e-5,artifacts/model_exp-02_wd-1e-5_20251104T051224Z.pt,artifacts/history_exp-02_wd-1e-5_20251104T051224Z.pkl,
20251110T221407Z,exp-03_wd-1e-4,2025-11-10T22:14:07.864401,0.5465333461761475,0.014753483235836029,0.003492235019803047,0.014753483235836029,0.12146391742338969,"{""tag"": ""exp-03_wd-1e-4"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 64, ""epochs"": 80}",runs/exp-03_wd-1e-4,artifacts/model_exp-03_wd-1e-4_20251104T051225Z.pt,artifacts/history_exp-03_wd-1e-4_20251104T051225Z.pkl,
20251110T221408Z,exp-04_wd-1e-3,2025-11-10T22:14:08.435715,0.5693767070770264,0.013787707313895226,0.003243719320744276,0.013787707313895226,0.11742106844129475,"{""tag"": ""exp-04_wd-1e-3"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.001, ""batch_size"": 64, ""epochs"": 80}",runs/exp-04_wd-1e-3,artifacts/model_exp-04_wd-1e-3_seed1_20251104T051620Z.pt,artifacts/history_exp-04_wd-1e-3_seed1_20251104T051620Z.pkl,
20251110T221409Z,exp-05_bn,2025-11-10T22:14:09.179890,0.7422797679901123,0.021745188161730766,0.00666359793394804,0.026078738272190094,0.16148912741169325,"{""tag"": ""exp-05_bn"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": true, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-05_bn,artifacts/model_exp-05_bn_20251110T221408Z.pt,artifacts/history_exp-05_bn_20251104T051226Z.pkl,
20251110T221409Z,exp-06_do-0.05,2025-11-10T22:14:09.807742,0.625892162322998,0.017137307673692703,0.01799839027225971,0.01804938167333603,0.13434798723217267,"{""tag"": ""exp-06_do-0.05"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.05, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-06_do-0.05,artifacts/model_exp-06_do-0.05_20251104T051226Z.pt,artifacts/history_exp-06_do-0.05_20251110T195146Z.pkl,
20251110T221410Z,exp-07_do-0.1,2025-11-10T22:14:10.582335,0.7723851203918457,0.017554467543959618,0.030818946287035943,0.017690354958176613,0.13300509373018995,"{""tag"": ""exp-07_do-0.1"", ""task"": ""regression"", ""seed"": 42, ""hidden_dims"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.1, ""batchnorm"": false, ""skip"": false, ""bottleneck"": false, ""optimizer"": ""adam"", ""lr"": 0.001, ""weight_decay"": 0.0, ""batch_size"": 64, ""epochs"": 80}",runs/exp-07_do-0.1,artifacts/model_exp-07_do-0.1_20251104T051227Z.pt,artifacts/history_exp-07_do-0.1_20251104T051227Z.pkl,
